Sesotho	English
momahano	attachment
momahano	cohesion 
momahanya	attach (v.)
momahatsa	join (v.)
momeno, memeno	hem
mona	here
monahani, banahani	thinker
monahano, menahano	meditation
monahano, menahano	thought (n.)
monate	sweet (adj.)
monate, menate	niceness
monawa, menawa	pod
mong, beng	master
mong, beng	owner
mong	alone
mong	individual
mong	somebody
Mong.	Mr (abbreviation)
mongala, mengala	deserter
monghadi, benghadi	gentleman
monghadi, benghadi	mister
monghadi, benghadi	Mr
mongobo	damp
mongobo	moist
mongodi, bangodi	author
mongodi, bangodi	secretary
mongodi, bangodi	writer
mongolo	orthography
mongolo	text
mongolo	handwriting
mongolo	writing
mongolo wa kopantshano	link text
monko, menko	smell
monna, banna	male
monna, banna	man
monna ya mosa	pleasant man
monokotshwai, menokotshwai	strawberry
monomere, dimonomere	monomer (<Eng)
monongwaha	this year
monontsha, menontsha	fertilizer
Monti	East London
monwana, menwana	finger
monwana o monyenyane wa leoto	little toe
monwana o motona	thumb
monwana o motona wa leoto	big toe
monwana o supang	forefinger
monwana wa leoto, menwana ya leoto	toe
monwana wa leoto o moholo	big toe
monwang	mosquito
monya	absorb (v.)
monya	suck (v.)
monyadi, banyadi	bridegroom
monyaduwa, banyaduwa	bride
monyaka, menyaka	fun
monyaka, menyaka	happiness
monyaka, menyaka	pleasure
monyako, menyako	door opening
monyako, menyako	doorway
monyako wa tlokotsi	emergency exit
monyebe	clumsy
monyebe	reluctant
monyela	percolate (v.)
monyepetsi, menyepetsi	tear
monyetla, menyetla	advantage
monyetla, menyetla	opportunity
monyokolane	laceration under the toe
monyollo, menyollo	glutton
monyumente, dimonyumente,; seemahale	monument (<Eng)
moo	there
moohi, baahi	citizen
mookamedi, baokamedi	superior
Mookana	Steynsrus
mookgo, meokgo	tear
Mookho (lebitso)	Tear / Lacrimation (female name)
mooki, baoki	nurse
mookodi, meokodi	rainbow
moomo, meomo	leg (below knee)
moomo, meomo	shin
paki, bapaki	witness
mopaki ya pono ya mahlo	eyewitness
mopako, mepako	packaging
mopalami, bapalami	commuter
mopalami, bapalami	passenger
mopapa, bapapa	pope
Mopedi, Bapedi	Pedi person
Mophate	Bothaville
mopheme, mepheme	jackal
mopholosi, bapholosi	lifeguard
mopholosi, bapholosi	saviour
mopo, dimopo	mop
mopresidente, bapresidente	president (<Eng)
moporesitente, baporesitente	president (<Eng)
moporofesara, baporofesara	professor (<Eng)
moporofeta, baporofeta	prophet (<Eng)
moprista, baprista	priest (<Eng)
moputso, meputso	earnings
moputso, meputso	income
moputso, meputso	pay (n.)
moputso, meputso	reward (n.)
moputso, meputso	salary
moqadi, baqadi	beginner
moqala, meqala	crowbar
moqapi, baqapi	composer
moqathatso, meqathatso	sandal
Moqebelo	Saturday
moqhaka wa hlooho	hairband
moqhobi, baqhobi	driver
moqomo wa matlakala	rubbish bin
moqopo, meqopo	colon
moqoqo, meqoqo	conversation
moqoqo, meqoqo	essay
moqoqopelo	Basotho womenâ€™s dance and singing
moqosi, baqosi	accuser
moqosi, baqosi	plaintiff
moqosuwa, baqosuwa	accused
mora, bara	son
morabe, merabe	tribe
moradi, baradi	daughter
moraho, meraho	stirrup
Moralo wa Mangolo a Thuto a Naha (MMTN) 	National Qualifications Framework (NQF) 
morao	back
morao	behind
morao	late
morao	rear
morara, merara	grape
morarane, merarane	creeper
moratuwa, baratuwa	beloved
moratuwa, baratuwa,; thatohatsi	favourite
moratuwa, baratuwa	lover
moreki, bareki	buyer
moreki, bareki	client
moreki, bareki	customer
morekisi, barekisi	salesperson
morekisi wa ditekete	ticket seller
Morena	Lord
morena, marena	king
morena, marena	chief
morena, marena	ruler [person]
morena, marena	master
morena wa diporotia	King Protea (SA national flower)
morero, merero	decision
morero, merero	motive
morero, merero	plan (n.)
morero, merero	project (n.)
morero, merero	purpose
morero, merero	scheme
moreso, bareso	brother
moretheto, meretheto	beat
moretheto, meretheto	rhythm
moreto, mereto	stripe
moriana, meriana	medicine
moriana wa ho kgohlela	cough medicine
moriba	plough without sowing
morifi, merifi	bowl
moriri, meriri	hair
moriri o ekeditsweng	hair extension
moritelo, meritelo	brew
moriti, meriti	shade
moriti, meriti	shadow
moro, mero	gravy
moroba, meroba	nomad
moroho, meroho	vegetable
Morojaneng	Dewetsdorp
moroko, meroko	seam (n.)
moroko, meroko	sewing (n.)
moromuwa, baromuwa	messenger
moromuwa, baromuwa	missionary
moropa, meropa	drum
moropana, meropana	tambourine
mororo, meroro	roar (n.)
moroto	urine
moru, meru	bush
moru, meru	forest
morui, barui	rich person
morupelli, barupelli	instructor
morupelli, barupelli	lecturer
morusu, merusu	riot
morusu, merusu	tumult
moruti, baruti	preacher
moruti, baruti	religious minister
morutuwa, barutuwa	disciple
morutwana, barutwana	learner
morutwana, barutwana	pupil
morwalathoto	porter
morwallo	flood
morwalo, merwalo	burden (n.)
morwalo, merwalo	load (n.)
morwetsana	adolescent (female)
morwetsana, barwetsana	virgin
morwetsana, barwetsana	young woman
Mosa (lebitso)	Grace (female name)
mosa	kind
mosa	pleasant (person)
mosadi, basadi	female
mosadi, basadi	wife
mosadi, basadi	woman
mosadi ya ratanang le basadi	lesbian
mosamo, mesamo	cushion
mosamo, mesamo	pillow
mose, mese	dress (n.)
mose	abroad
mose ho mawatle	overseas
mose wa tantshi	ball gown
mosebeletsi, basebeletsi	servant
mosebeletsi, basebeletsi	worker
mosebeletsi wa tsa bophelo bo botle	health worker
mosebetsi, basebetsi	labourer
mosebetsi, basebetsi	worker
mosebetsi, mesebetsi	employment
mosebetsi, mesebetsi	job
mosebetsi, mesebetsi	labour (n.)
mosebetsi, mesebetsi	task
mosebetsi, mesebetsi	work (n.)
mosebetsi o boima	difficult work
mosebetsi o thata	difficult work
mosebetsi wa bohlokwa	important work
mosebetsi wa lapeng	homework
mosebetsi wa matsoho	manual labour
mosehlo, mesehlo	segment
moseho, meseho	incision
mosekaseki, basekaseka	critic
moseke, dimoseke	mosque (<Eng)
Mosela (lebitso)	Tail (male name)
Mosela (lebitso)	Tail / The Last One (female name)
Moselantja (lebitso)	Dogâ€™s tail (female name)
Moselantja (lebitso)	Dog's tail (male name)
mosele, dimosele	mussel (<Afr: mossel)
moseme, meseme	mat
moseme a tweba; moseme wa maose	mouse pad
moseme wa tafole, meseme ya tafoloe	place mat
moseneke	crisis
mosesi, basesi	sailor
mosetareta	mustard
mosetjhi, basetjhi	pickpocket
mosetsana, basetsana	girl
mosha, mesha	meerkat
Moshanyana (lebitso)	Boy (male name)
moshanyana, bashanyana	boy
moshemane, bashemane	boy
mosi	smoke
mosi	steam
mosidi, mesidi	soot
mosifa, mesifa	muscle
mosifa, mesifa	tendon
Mosimodi  (lebitso)	Traditional fable name (female name)
Mosimotsana (lebitso)	Traditional fable name (female name)
Mosinyathi	Buffalo River
mosireletsi, basireletsi	defendant
Mosiuoa (lebitso)	The Abandoned One (male name)
moso	tomorrow
mosokolohi, basokolohi	convert
Mosotho, Basotho	Sotho person
mosusutlelli, basusutlelli	dictator
mosuwe, basuwe	teacher
mosuwehlooho, basuwehlooho	headmaster
mosuwehlooho, basuwehlooho	principal 
moswa, meswa	Cape cobra [Naia flava]
moswahla, meswahla	wreck
moswaso, meswaso,; motlae	joke (n.)
Mosweu, Basweu	European
mosweu, basweu	white person
motabo	sex (n.)
motabo	sexual intercourse
motaka, metaka	line
motala	aboriginal
motataisi, batataisi	counsellor
motataisi, batataisi	guide
Motati	Verkeerdevlei
motehi, batehi	mechanic
motele, dimotele	motel (<Eng)
motho ya botswa, batho ba botswa	lazy person
mothahaselli, bathahaselli	fan
mothalo (pl. methalo)	row
mothalo wa 3D	3D shading
mothamo, methamo	mouthful
mothamo, methamo	volume
mothamo, methamo	content
mothamo a diski	disk capacity
mothapo, methapo	blood vessel
mothapo, methapo	vein
mothapo wa madi, methapo ya madi	artery
mothati, methati	ledge
mothati, methati	terrace
mothei, bathei	founder
motheo, metheo	basic
motheo, metheo	basis
motheo, metheo	foundation
mothinya, methinya	bend
mothipoloha, methipoloha	slope
motho, batho	person
motho e moholo	important person
motho ka sebele	self
motho ya madi a sa hlwebeng	haemophiliac
motho ya nang le tshwaetso	carrier of disease
motho ya ratang ba bong bo sa tshwaneng le ba hae	heterosexual
motho ya tshwaeditsweng	infected person
motho ya tshwaeditsweng ke HIV	HIV-infected person
mothohi, bathohi	burglar
mothusi, bathusi	assistant
mothusi, bathusi	helper
mothusi nakong ya kotsi	paramedic
mothwebe, methwebe	yolk
motimamollo, batimamollo	firefighter
motinyane, metinyane	grass warbler
motjeko, metjeko	dance (n.)
motjha	teenager
motjha	youth
motjha	young
motjhana, batjhana	nephew
motjhana, batjhana	niece
motjhelo, batjhelo	cellist
tselatshebetso	system
motjhini wa ho tlanya	typewriter
motjheso	heat
motjhini, metjhini	engine
motjhini, metjhini	machine (<Eng)
motjhini o borang	drilling machine
motjhini o kotulang	harvester
motjhini o kutang mohlwa	lawnmower
motjhini o ngolang	typewriter
motjhini o rokang	sewing machine
motjhini wa dipalo	calculator
motjhini wa fekese	fax machine
motjhini wa ho hlatswa	washing machine
motjhini wa ho roka	sewing machine
motjhini wa ho tlosa lerole	vacuum cleaner
motjhini wa melaetsa	answering machine
motjhini wa tekanyetso	calculator
motjhini wa vidio	video recorder
motjhotjhisi, batjhotjhisi	prosecutor
motjhotjhonono, metjhotjhonono	comet
motlae, metlae	joke
motlakase, metlakase	electricity
motlalapi, batlalapi	robber
motlalapi, batlalapi	villain
motlalehi, batlalehi	reporter
Motlalepule (lebitso)	The Rain Bringer (male name)
motlamo, metlamo	attachment
motlanyi, batlanyi	typist
motlapasi, metlapasi	reedbuck [Redunca arundinum]
motlatlapuwa wa tumelo	martyr
motlatsi, batlatsi	accomplice
motlatsi, batlatsi	assistant
motlatsi, batlatsi	deputy
motlatsi wa modulasetulo	vice chairperson
motlatsi wa mopresidente	deputy president
	
Motle (lebitso)	Beautiful (female name)
motletlebi, batletlebi	complainant
motlodi, batlodi	trespasser
motlotlwane, metlotlwane	hut
motokara, dimotokara	car
motorokara, dimotorokara	car
motou wa ditshila; moqomo wa matlakala	rubbish bin
Motsamai (lebitso)	Traveller (male name)
motsamai, batsamai	traveller
motsamai, batsamai	walker
motsamaisi, batsamaisi	conductor (person)
motsamaisi, batsamaisi	manager
motsamao, metsamao	march
motsamao, metsamao	movement
motsana, metsana	suburb
motsana, metsana	little village
motsarane	skimmed milk
motse, metse	city
Motse Kapa	Cape Town
motsemoholo, metsemoholo	capital city
motsemoholo, metsemoholo	metropolis
motsero, metsero	coloured line
motsero, metsero	stripe
Motsheanong	May
motsheare	afternoon
motsheare	midday
motsheare wa lengata	twelve o' clock
motsheare	afternoon
motsheare	midday
motshehetsi, batshehetsi	counsellor
motsheo	deep inside
motshwaruwa, batshwaruwa	convict
motshwaruwa, batshwaruwa	detainee
motshwaruwa, batshwaruwa	prisoner
motshwaruwa wa ntweng	prisoner of war
motso, metso	root
motso, metso	unit
motsosa, metsosa	stimulus
motsotso, metsotso	minute
motsotso, metsotso	moment
motsotso ona	moment (this ...)
motsotswana, metsotswana	second (indication of time)
motsu, metsu	arrow
motsu	sharpness
motsula	exterminate (v.)
Motsumi (lebitso)	The seeker (male name)
motswadi, batswadi	parent
motswala, botswala	cousin
motswalle, metswalle	friend
Motswana, Batswana	Tswana person
motubi, batubi	oppressor
moupello	antidote
moupi, baupi	one who uses charms
moudeme	modem
moutu, dimoutu	mode
moutu wa ditshwantsho	graphics mode
mouwane	vapour
Movenda, Bavenda	Venda person
Movenda, Bavenda	Venda person
movirigo	virgin
moya	breath
moya, meya	air
moya, meya	atmosphere
moya, meya	attitude
moya, meya	breath
moya, meya	breeze
moya, meya	mood
moya, meya	soul
moya, meya	spirit
moya, meya	wind
Moya o Halalelang	Holy Spirit
moya o mosesane	breeze
moyafala	evaporate (v.)
moya o bobebe, meyana	light breeze
Mozambiki	Mozambique
mpa, dimpa	abdomen
mpa, dimpa	stomach
mpa, dimpa	tummy
mpa	but
Mphalane	October
mphatjhane, dimphatjhane	leather shoe
Mphatlalatsane	Venus [Planet]
mphato	peer
mphe	give me (v.)
mphi, dimphi	army regiment (<Zulu:impi)
Mpho (lebitso)	Gift (male name)
Mpho (lebitso)	Gift / Present (female name)
mpho, dimpho	donation
mpho, dimpho	gift
mpho, dimpho	present
Mpho ha e halalwe (maele)	One never refuses a gift (proverb)
mpjhane, dimpjhane	wooden spoon
mpona	see me (v.)
mpshe, dimphse	ostrich [Struthio camelus]
mpulele	open for me (v.)
Mpumalanga	Mpumalanga
mulana	fall hard
musiamo, dimusiamo	museum
na	rain (v.)
na le	consist
na le	have (own)
naelono, dinaelono	nylon
Naetrojene	Nitrogen (N) [Element]
naha, dinaha	country
naha, dinaha	land
naha, dinaha	region
naha, dinaha	state (n.)
naha e phahameng	highveld
naha e phatlaletseng	rural area
naha e tlase	lowveld
nahana	consider (v.)
nahana	think (v.)
nahana	reason (v.)
nahanelang	considerate
nahanisa	let think (v.)
nahathothe, dinahathothe	desert
naila	fighting in the front of the line
nakedi, dinakedi	pole-cat
nakedi, dinakedi	skunk
nako, dinako	period
nako, dinako	time
nako e fetileng	past
nako e itseng	term
nako eo ka yona tshwaetso e sa totobalang	window period
nako ya bophelo	lifetime
nako ya ho fella ha tshebediso	expiry date
nako ya ho ipata ha tshwaetso	incubation period
nako ya selemo	season
nala	abundance
nala	red and white colour (adj.)
nalane	history
nale, dinale	needle (<Afr: naald)
nale e nang le dikokwanhloko	unsterilised needle
nale ya tlhabo	hypodermic needle
Naledi  (lebitso)	Star (female name)
naledi, dinaledi	star
nama, dinama	flesh
nama, dinama	meat
nama ya kgoho	chicken
nama ya kgomo	beef
nama ya kolobe	bacon
nama ya kolobe	pork
nama ya namane	veal
nama ya nku	mutton
nama ya nyamatsane	venison
Namahadi	Elands River
Namahadi	Frankfort
Namahadi	Wilge River
namane, dinamane	calf (animal)
namane, manamane	calf (animal)
Namibia	Namibia
nanabela	catch (v.)
nanabetsa	catch (v.)
nanabolele, dinanabolele	otter
nanara	stalk (v.)
nanarelana	surprise each other
nanya	walk quietly (v.)
nare, dinare	African buffalo [Syncerus caffer caffer]
narike, dinarike	naartjie (<Eng/Afr)
natefala	become nice (v.)
natefelwa	enjoy (v.)
natlafala	become strong (v.)
natsa	care (v.)
nawa, dinawa	bean
ne	was
neha	give (v.)
nehelano	presentation
nekethifi, dinekethifi	negative (photo)
nena	dislike (v.)
neneng ?	when ?
neng ?	when ?
nenne	disliked (v.)
Neo (lebitso)	Gift (male name)
Neo (lebitso)	Grant / Gift / Talent (female name)
neo, dineo	gift
neo, dineo	talent
Neodimiamo	Neodymium (Nd) [Element]
Neone	Neon (Ne) [Element]
nepa	right (be ...) (v.)
nepahetse	correct
nepahetseng	accurate
Nepetjhunu	Neptune
nepileng	exact
nepisa	correct (v.)
nepo	accuracy
Neptuniamo	Neptunium (Np) [Element]
nesa	make raine (v.)
nese, dinese	nurse
nete, dinete	net (computer)
netebolo	netball
netefala	become true (v.)
Netherlane	The Netherlands
ngaka, dingaka	doctor
ngaka, dingaka	herbalist (doctor)
ngaka e buhong	surgeon
Ngaka e rutwa wa dihlare, mejo ha e e rutwe (maele)	A doctor is taught medicine, but not the charges (proverb)
ngaka wa sethethefatsi	anaesthetist
ngaka ya mahlo	optometrist
ngaka ya meno	dentist
ngaka ya setereke	district surgeon
ngaka ya setho	traditional healer
ngala	desert (v.)
ngala	sulk (v.)
nganga	argue (v.)
ngangisa	contradict (v.)
ngangisano	argument
ngaya	howl (v.)
ngodisa	enrol (v.)
ngola	write (v.)
ngololla	download
ngolo la ditaba; lesedinyana	newsletter
ngolophelo ya mong ka boyena 	autobiography 
ngolophelo ya mong ka e mong 	biography 
ngolwa	written (be ...) (v.)
ngongorehile	anxious
ngongoreho	anxiety
ngope	rare occurrence
ngotse	wrote (v.)
ngwahola	last year
ngwana (s.1a) bana	child
ngwana ya mahareng	middle child
ngwana ya mong	only child
ngwanana, bananna	girl
ngwaneso, banabeso	my brother
ngwaneso, banabeso	my sister
ngwangwarela	scramble
ngwapa	scrape (v.)
ngwapa	scratch (v.)
ngwaparela	claw (v.)
ngwaparelo, dingwaparelo	claw
ngwatha	slice (v.)
Ngwathe	Edenville
Ngwathe	Renoster River
ngwedi	moonlight
ngwetsi, dingwetsi	daughter-in-law
ngwetsi, dingwetsi	sister-in-law
Nikele	Nickel (Ni) [Element]
Niobiamo	Niobium (Nb) [Element]
nitriki esiti	nitric acid (<Eng)
nka	take (v.)
nka kano	take an oath (v.)
nka leeto	undertake journey
nka tsamaya	I can walk
nkane	obstinate (be ...) (v.)
nkela bohato	replace
nkemela	wait for me (v.)
nketu	frog
nkga	smell
nkgo, dinkgo	clay pot
nkgodi, dinkgodi	elevator
nkgono (s.1a) bonkgono (pl.2a)	aunt (mother's older sister)
nkgono (s.1a) bonkgono (pl.2a)	grandmother
Nkhetheleng (lebitso)	Choose for me (female name)
nko, dinko	nose
Nkome	Blood River
nkotla	punish me
Nku (lebitso)	Sheep (male name)
nku, dinku	sheep [Ovis aries]
nkuwa	taken (be ...) (v.)
Nkwe  (lebitso)	Tiger (male name)
nkwe, dinkwe	leopard
Nkwenyane  (lebitso)	Little Tiger (male name)
nna	I (absolute pronoun)
nna	me
nna	still
nne	four
nnete	fact
nnete	real
nnete	reality
nnete	sincerity
nnete	TRUE
nnete	truth
nnetefatsa	ascertain (v.)
nngwe	one
setho sa sesadi; sesadi	vagina (vulgar)
nobele (pl. dinobele) 	novel 
Nobeliamo	Nobelium (No) [Element]
nofuta o laolang	control type
nofuta o laolang ha o tshehetswe	control type is not supported
noha, dinoha	snake [Any from the suborder Serpentes in order Squamata, in the class Reptilia]
noka, dinoka	flavour
noka, dinoka	groin
noka, dinoka	hip
noka, dinoka	loin
noka, dinoka	pelvis
noka, dinoka	porcupine
noka, dinoka	river
noka, dinoka	rump
noka	salt (v.)
noka e khutlisetsang	return stream
Noka ya Kei	Kei River
Noka ya Limpopo	Limpopo River
Noka ya Tshwane	Apies River
nokana, dinokana	stream
noko	porcupine [Hystrix]
noko, dinoko	porcupine
nokwa	salted (be ...) (v.)
nomoro, dinomoro	number (<Afr: nommer)
nomoro fomate	number format
nomoro ya kupiki	cubic number
nomoro ya leqephe (pl. dinomoro ya leqephe)	page number
nomoro ya polatefomo	platform number
nomorokonopo, dinomorokonopo	keypad
nomoropolata, dinomoropolata	number plate (<Afr: nommerplaat)
nomorwana, dinomorwana,; nomoro	digit
nona	fat (become ...) (v.)
none	blesbok [Damaliscus dorcas phillipsi]
none, dinone	blesbok
nonne	fat (is ...) (v.)
nonne	fertile
nonometsane, dinonometsane	earthworm
nonopela	convalesce
nontsha	fertilise (v.)
nonyana	bird [Any from Aves class]
nonyana, dinonyana	bird
nonyetseha	sprain (v.)
nonyetseho	sprain (n.)
nosetsa	water (v.)
nosetsa	irrigate (v.)
nosetso	irrigation
noteishene, dinoteishene	notation (<Eng)
notlela	lock (v.)
notlolo, dinotlolo	key (on keyboard)
noto, dinoto	hammer
noto, dinoto	zero (<Eng: naught)
notshi, dinotshi	bee [Any from Apoidea family]
noutebuka, dinoutebuka	notebook
noutu, dinoutu	musical note (<Eng)
nowa ke	be drunk by
nqa, dinqa	direction
nqa, dinqa	side
nqane (< nqa yane)	beyond
nqane (< nqa yane)	that side
nqosa	claim (v.)
nqosa	prosecute (v.)
Ntaka	Sundays River
ntatae	his father
ntatao	your father
ntate, bontate	father
ntatemoholo (s.1a) bontatemoholo (pl.2a)	grandfater
ntatemoholo (s.1a) bontatemoholo (pl.2a)	uncle (father's older brother)
Ntha	False River
Nthabi (lebitso)	Short form of Nthabiseng (make me happy) (female name)
Nthabiseng (lebitso)	Make me happy (female name)
Nthati (lebitso)	One to love me (female name)
nthithi	blunt
ntho, dintho	object
ntho, dintho	thing
ntho e harang moriri	hair curler
ntho e tshwantshwang	imaginary thing
ntho e tshwarang moriri	hairclip
ntho ya ho bolokela	container
Nthofeela (lebitso)	Thing (male name)
Ntja (lebitso)	Dog (male name)
ntja, dintja	dog [Canis lupus familiaris]
Ntja e tsokela ya e fang (maele)	A dog follows the one who feeds it (proverb)
ntjanyana, dintjanyana	puppy
ntjha	new
ntjhafatsa	modify
ntjhafatsa tulo	modify layout
ntlafala	beautiful (become ...) (v.)
ntlafatsa	beautiful (make ...) (v.)
ntle	besides
ntle	except
ntle	outside
ntle ho	without
ntle le	besides
ntlentle	very pretty
ntlha, dintlha	goal (n.)
ntlha, dintlha	item (n.)
ntlha, dintlha	point (n.)
ntlha, dintlha	pole (n.)
ntlha, dintlha	score (n.)
ntlha, dintlha	thought (n.)
ntlha, dintlha	tip (n.)
Ntlha ya Borwa	South Pole
Ntlha ya Leboya	North Pole
ntlha ya leqhweng	freezing point
ntlo, dintlo	house
ntlo ya baeti	guest house
ntlo ya borena	palace
ntlo ya ho aparela	changing room
ntlo ya marobalo	boarding house
ntlo ya moaho o moholo	mansion
ntlo ya polasi	farm house
ntlwana, dintlwana	toilet
ntlwana e kgantshetsang dikepe	lighthouse
ntlwana ya bohle	public toilet
ntlwana ya ditekete	box office
ntlwana ya fono	telephone booth
ntlwana ya ntja	kennel
ntoto	penis (vulgar)
Ntsebo (lebitso)	Adapted from the word for whispers (female name)
ntsekane, dintsekane	suni [Neotragus moschatus]
ntsekane	still
ntsha	draw (v.)
ntsha	eject (v.)
ntsha	eliminate (v.)
ntsha	take out (v.)
ntsha diphoso	criticise (v.)
ntsha diphoso	correct (v.)
ntsha kotsi	hurt (v.)
ntsha kotsi	wound (v.)
ntsha tjotjo	bribe (v.)
ntshafatsa	refresh
ntshetsa pele	civilise (v.)
ntshi, dintshi	eyebrow
ntshi, dintshi	eyelash
ntshi, dintshi	eyelid
ntshunyakgare	intruder
ntshuwa	taken out (be ...) (v.)
ntshwarele	excuse me
ntsintsi, dintsintsi	fly [Musca domestica]
Ntsu (lebitso)	Eagle (male name)
ntsu, dintsu	eagle [Aquila]
ntsweleng	unanimous
ntwa, dintwa	battle (n.)
ntwa, dintwa	war (n.)
ntwa, dintwa	fight (n.)
ntweng	battlefield
ntweng	at war
ntweng	in war
nuterone, dinuterone	neutron (<Eng)
nutlere, dinutlere	nucleus (<Eng)
nwa	drink (v.)
nwella	drown (v.)
nwesa	cause to drink (v.)
nwesetsa	water (v.)
nya	excrete (v.)
nyahameng	desperate
nyahamisa	frustrate (v.)
nyahamisa	discourage (v.)
nyahlatsa	abandon (v.)
nyahlatsa	reject (v.)
nyahlatso	rejection
batla	search
nyakalatsa	delight (v.)
nyakalatsa	excite (v.)
nyakalletseng	happy
nyakalletseng	cheerful
nyakallo	joy
Nyakallo (lebitso)	Joy (female name)
nyakallo	delight
nyakallo	excitement
nyakallo	happiness
nyakallo	joy
nyakurela	censor (v.)
nyala	marry (v.)
nyala	wed (v.)
nyalano 	integration 
nyamatsane, dinyamatsane	bontebok [Damaliscus dorcas dorcas]
nyamatsane, dinyamatsane	animal (non-carnivorous)
nyamatsane, dinyamatsane	herbivore
nyamatsane, dinyamatsane	gemsbok / gemsbuck [Oryx gazella]
nyamela	disappear (v.)
nyamela	vanish (v.)
nyamelo	dissapearance
nyao, dinyao	tattoo (n.)
nyarela	look from above (v.)
nyarela	peep
nyarosa	startle (v.)
nyarosa	become startled (v.)
nyatsa	blame (v.)
nyatsa	reproach (v.)
nyatsa	scold (v.)
nyedisa	contempt (v.)
nyedisa	scorn (v.)
nyediso	scorn (n.)
nyemotsa	scowl (v.)
nyenyane	junior
nyenyane	less
nyenyane	little
nyenyane	small
nyenyefatsa	belittle (v.)
nyenyefatsa	humiliate (v.)
nyenyeletso	whisper (n.)
nyewe, dinyewe	court case
nyoloha	ascend
kenya	upload (v.)
nyonya	hate (v.)
nyonyehang	repulsive
nyooko	gall
nyooko	bile
nyopileng	abortive
nyopisa	abort (v.)
nyopiso, dinyopiso	abortion
nyorilwe	thirsty
nyorolla	quench (v.)
nyorwa	thirst (v.)
nyumonia	pneumonia
nyutleleone, dinyutleleone	nucleon (<Eng)
nyutrone, dinyutrone	neutron (<Eng)
o	objectival concord
o	subject concord
o	subject concord
o kae ?	where are you ?
o kae ?	how are you? (lit: where are you?)
o mobe	bad (adj.)
o mobe	ugly (adj.)
o mofubedu	red (adj.)
o moholo	big (adj.)
o mokaakang !	how big !
o mokae ?	how big ?
o mokae ?	how much ?
o mokana ka	as big as (adj.)
o mokgunong	light brown (adj.)
o mokgutshwanyane	short (adj.)
o molelele	long (adj.)
o molelele	tall (adj.)
o mong	alone (adj.)
o mong	alone (adj.)
o mong	certain (adj.)
o monyane	little (adj.)
o monyane	small (adj.)
o monyenyane	small (adj.)
o mopinki	pink (adj.)
o moputswa	blue (adj.)
o moputswa	grey (adj.)
o mosehla	yellow (adj.)
o mosesane	thin (adj.)
o mosesane	tight (adj.)
o mosootho	dark brown (adj.)
o mosweu	white (adj.)
o motala	green (adj.)
o motenya	thick (adj.)
o motjha	new (adj.)
o tjhitja	round
o motle	beautiful (adj.)
o motle	good (adj.)
o motle	pretty (adj.)
o motona	male (adj.)
o motonana	huge (adj.)
o motshehadi	female (adj.)
o motshehadi	feminine (adj.)
o motsho	black (adj.)
o motsho	dark (adj.)
o tsitsitse	stable (adj.)
Oagile (lebitso)	Household has been firmly built (male name)
Oarona (lebitso)	Ours (female name)
Oatile (lebitso)	Household has been firmly built (male name)
obarolo, diobarolo	overalls
objeke, diobjeke,; ntho	object
objeke ya diphatlalatso, diobjeke tsa diphatlalatso	media object
objeke ya OLE, diobjeke tsa OLE	OLE object
oesetere, dioesetere	oyster (<Afr: oester)
ofe ?	which ?
ofe ?	which ?
ofisi, diofisi	office (<Eng)
ofisi ya ditekete	ticket office
ofisi ya mosuwehlooho, diofisi tsa mosuwehlooho	principal's office
ofisi ya tjhelete	financial office
ofisi ya tsamaiso	administration office
ohle	all (quantitative pronoun)
oka	nurse (v.)
Okesejene	Oxygen (O) [Element]
octahedron	octahedron
okola 	skim (v.)
ola	demonstrative pronoun those (yonder)
oli, dioli	oil (<Afr: olie)
oli ya ho tjheswa ka letsatsi	suntain oil
olosa	pour out sticky liquid in an elaborate manner (v.)
oma	dry (v.)
oma ka hloho	nod (v.)
omanya	scold (v.)
omfolopo, diomfolopo	envelope
omisa	dry (v.)
ona	demonstrative pronoun this
ona	possessive pronoun
ona	them (absolute pronoun) 
ona	they (absolute pronoun) 
onnorobaki, dionnorobaki	waistcoat
onnoroko, dionnoroko	petticoat
ono	demonstrative pronoun that
onto, dionto	oven
onto ya maekoroweife	microwave oven
oo	demonstrative pronoun that
oo	demonstrative pronoun there
opa	ache (v.)
opareishini, diopareishini	operation
opareishini ya dipalo, diopareishini tsa dipalo	mathemical operation
opiamo	opium
optikhale	optical (<Eng)
oroha	return home (v.)
osele	different
osele	different
osele	strange
osele	strange
Oseteralesia	Australasia
Oseteralia	Australia
Osmiamo	Osmium (Os) [Element]
osoune, diosoune	ozone (<Eng)
ota	become lean (v.)
ota	lose weight (v.)
ota	become thin (v.)
othobayokerafi 	autobiography 
otile	be lean (v.)
otileng	emaciated
otileng	lean
otla	assault (v.)
otla	hit (v.)
otla	punish (v.)
otlolla; atolosa	extend (v.)
otlolla	stretch (v.)
otlolohileng	straight
otlolohileng	vertical
otsela	doze (v.)
otsela	drowse (v.)
otselang	drowsy
otselang	sleepy
Oupanyana (lebitso)	Small grandfather (from Afrikaans: oupa) (male name)
pabala, dipabala	bushbuck [Tragelaphus scriptus]
pabala, dipabala	impala [Aepyceros melampu]
Paballo (lebitso)	Protection (female name)
paballo	care (n.)
paballo	economy
paballo	thrift
paballo ya mmele	hygiene
pabi, dipabi	roasted ground maize or wheat
pabi, dipabi	spot in the eye-ball
padiso, dipadiso	reading lesson
