Sesotho	English
bapala	play (v.)
bapatsa	advertise (v.)
bapile	parallel (be ...) (v.)
bapileng	adjacent
bapisa	compare (v.)
bar, dibar	bar (computer - software)
bara, dibara	bar (computer - software)
bara ya dikgetho	menu bar
bara ya dithulusi e kgolo	main toolbar
bara ya ho sekorola	scroll bar
bara ya maemo	status bar
bara ya thulusi	tool bar
Bariamo	Barium (Ba) [Element]
Baroma	Romans
Noka ya Barwa	Bushmans River
basadi	my ! (exclamation by women)
basari, dibasari	bursary
basekeite, dibasekeite	biscuit (<Eng)
basekeite, dibasekeite	rusk (<Afr: beskuit)
basekomo, dibasekomo	washbasin
basele	different
basele	strange
Barwetsana; Basadi	Ladies (female name)
Basotho	Basotho people
bata	be cold (v.)
bata	hit with a stick (v.)
bate, dibate	bath
batekamore, dibatekamore	bathroom (<Afr: badkamer)
baterepokise	chicken pox (<Afr: watterpokkies)
batho	people
batho	mankind
batho	people
setjhaba	society
batho ba bang	certain people
batjha	youth (the ...)
batla	look for (v.)
batla	require (v.)
batla	search (v.)
batla	seek (v.)
batla	want (v.)
batleha	wanted (be ...) (v.)
batlela	seek for (v.)
batlile	almost
batlile	looked for (v.)
batlile	nearly
batlile	wanted (v.)
batlisisa	investigate (v.)
batsi	broad
batsi	wide
Port Elizabeth	Port Elizabeth
bayokerafi, dibayokerafi	biography 
bayoloji	biology
bea	install (v.)
bea	save
Bebele, Dibebele	Bible
bebera	babble (v.)
beeletsa	deposit (v.)
befa	be violent (v.)
beha	inform (v.)
beha	lay (v.)
beha	place (v.)
beha	put (v.)
beha	report (v.)
beha fatshe	lay down to (v.)
behantsha tjhebo	set focus
behela	put aside for (v.)
behela	report to (v.)
beheletsa	deposit (v.)
beheletsa	lay-by
behwa	placed (be ...) (v.)
beije	beige
veini, diveini	wine
beisa	race (v.)
beisi, dibeisi	base (<Eng)
beka	cut into small pieces (v.)
beke, dibeke	week (<Afr: week)
bekga	weigh (v.)
bela	boil (liquids) (v.)
Bela-bela	Warmbaths
belaela	distrust (v.)
belaela	doubt (v.)
belaela	hesitate (v.)
belaela	moan (v.)
belaela	suspect (v.)
beleha	beget (v.)
beleha	deliver (baby) (v.)
beleha	give birth (v.)
Belgiamo	Belgium
belofo, dibelofo	valve (<Eng)
bengele, dibengele	bangle (<Eng)
bente 	band 
bentsha	glitter (make something ...) (v.)
bentsha	shine (v.)
benya	gleam (v.)
benya	glitter (v.)
benya	shine (v.)
benya	sparkle (v.)
benyang	shiny
beola	shave (v.)
beotse	shaved (v.)
bere, dibere	bear
Beriliamo	Beryllium (Be) [Element]
Berkeliamo	Berkelium (Bk) [Element]
besa	make fire (v.)
besa	burn (v.)
bese, dibese	bus
besete, dibesete	vest (<Eng)
beta	rape (v.)
beta	seize with hands (v.)
bete, dibete	beetroot (<Afr: beet)
bete, dibete	bat (<Eng)
beteri, dibeteri	battery (<Eng)
bethe, dibethe	bed (<Eng/Afr: bed)
bethe ya sepetlele	hospital bed
betjha	bet (v.) (<Eng)
betla	chisel (v.)
betla	chip (v.)
betsa	fire a gun (v.)
betsa	hit (v.)
betsa	throw (v.)
Bibele, Dibibele	Bible
bifi, dibifi	preserved beef (<Eng: beef)
bikini, dibikini	bikini (<Eng)
bilehasia	bilharzia
bina	sing (v.)
bina	dance (v.)
bintsha	conduct (v.)
bintsha	sing (cause to) (v.)
bipetsana	suffocate
biskete, dibiskete	biscuit (<Eng/Afr: beskuit)
Bismute	Bismuth (Bi) [Element]
bitimapa, dibitimapa	bitmap (<Eng)
bitla	bury (v.)
bitsa	call (v.)
bitsa	name (v.)
bitsa	summon (v.)
bitsana	call one another (v.)
bitsetsa	call for (v.)
bitsitse	called (v.)
bitswa	being called (v.)
bja	slap (ideophone)
bjara	crush (v.)
bjaratsa	crush (v.)
bloko, dibloko	block (<Eng)
bo	objectival concord
bo	subject concord
bo bobe	bad (adj.)
bo bobe	ugly (adj.)
bo bofubedu	red (adj.)
bo boholo	big (adj.)
bo bokaakang !	how big !
bo bokae ?	how big ?
bo bokae ?	how much ?
bo bokana ka	as big as (adj.)
bo bokgunong	light brown (adj.)
bo bokgutshwanyane	short (adj.)
bo bolelele	long (adj.)
bo bolelele	tall (adj.)
bo bong	alone (adj.)
bo bong	certain (adj.)
bo bongata	many (adj.)
bo bonyane	little (adj.)
bo bonyane	small (adj.)
bo bonyenyane	small (adj.)
bo bopinki	pink (adj.)
bo boputswa	blue (adj.)
bo boputswa	grey (adj.)
bo bosehla	yellow (adj.)
bo bosesane	thin (adj.)
bo bosesane	tight (adj.)
bo bosootho	dark brown (adj.)
bo bosweu	white (adj.)
bo botala	green (adj.)
bo botenya	thick (adj.)
bo botjha	new (adj.)
bo botjhitja	round
bo botle	beautiful (adj.)
bo botle	good (adj.)
bo botle	pretty (adj.)
bo botona	male (adj.)
bo botonana	huge (adj.)
bo botshehadi	female (adj.)
bo botshehadi	feminine (adj.)
bo botsho	black (adj.)
bo botsho	dark (adj.)
bo botsitsitse	stable (adj.)
